,Time,LinearA,AngularV
177,388472000000,-0.041,-0.1428
178,388962000000,-0.0294,-0.116
179,389037000000,0.0339,-0.2012
180,389227000000,-0.0282,-0.1807
181,389912000000,-0.0907,-0.3726
182,389947000000,-0.0871,-0.3631
183,389982000000,-0.0864,-0.3631
184,390057000000,-0.0818,-0.3536
185,390142000000,-0.0733,-0.3278
186,390187000000,-0.0719,-0.3278
187,390357000000,-0.0709,-0.3511
188,390677000000,-0.0465,-0.2831
189,390797000000,-0.0458,-0.3066
190,390832000000,-0.0444,-0.3066
191,391167000000,-0.0243,-0.2305
192,391207000000,-0.0232,-0.2305
193,391412000000,-0.0167,-0.2124
194,391752000000,-0.0086,-0.2034
195,391872000000,-0.0061,-0.2034
196,391977000000,-0.0034,-0.1707
197,392012000000,-0.0029,-0.1707
198,392162000000,0.3802,-0.2273
199,392197000000,0.0015,-0.1856
200,392237000000,0.001,-0.1856
201,392577000000,0.0068,-0.1766
202,392697000000,0.009,-0.1676
203,393157000000,0.0171,-0.1846
204,393272000000,0.0197,-0.1921
205,393352000000,0.0177,-0.1669
206,393742000000,0.0345,-0.2322
207,393777000000,0.0376,-0.2561
208,393847000000,0.0345,-0.2068
209,395027000000,0.046,-0.1902
210,395097000000,0.0547,-0.2232
211,395367000000,0.065,-0.2542
212,395582000000,0.0699,-0.2688
213,395622000000,0.0701,-0.2688
214,395732000000,0.0593,-0.2269
215,395807000000,0.0614,-0.2342
216,396032000000,0.0496,-0.1999
217,396107000000,0.0636,-0.2438
218,396142000000,0.0737,-0.2183
219,396332000000,0.0621,-0.2421
220,396597000000,0.1604,-0.1932
221,396972000000,-0.2544,-0.2407
222,397192000000,0.046,-0.1734
223,397232000000,0.0374,-0.2062
224,397827000000,0.0102,-0.0819
225,397862000000,0.0207,-0.1564
226,397907000000,0.0084,-0.0733
227,397942000000,-0.0624,-0.0822
228,398452000000,0.0287,-0.1731
229,398802000000,0.0118,-0.0812
230,398922000000,0.0148,-0.1054
231,399042000000,0.0152,-0.0882
232,399077000000,0.0118,-0.0882
233,399332000000,0.0109,-0.0874
234,399662000000,0.0051,-0.0453
235,399732000000,0.005,-0.0453
236,399772000000,0.0058,-0.0531
237,399887000000,0.0065,-0.061
238,400167000000,0.0134,-0.1421
239,400237000000,0.0102,-0.165
240,400462000000,0.0156,-0.2301
241,401087000000,-0.0026,-0.2992
242,401337000000,-0.0195,-0.2515
243,401952000000,-0.0241,-0.3998
244,402062000000,-0.0395,-0.2798
245,402142000000,-0.0364,-0.2429
246,402387000000,-0.0686,-0.3761
247,402842000000,-0.0639,0.1053
248,402887000000,-0.0225,-0.1178
249,402962000000,-0.0828,-0.3541
250,403307000000,-0.0943,-0.3846
251,403427000000,-0.1016,-0.4009
252,403467000000,-0.1042,-0.4077
253,403507000000,-0.105,-0.4077
254,403587000000,-0.1037,-0.3981
255,403852000000,-0.0855,-0.326
256,404092000000,-0.069,-0.2676
257,404257000000,-0.0546,-0.2166
258,404757000000,-0.0235,-0.0999
259,404962000000,-0.0043,-0.0183
260,405072000000,-0.0024,-0.01
261,405217000000,-0.0004,-0.0018
262,405812000000,0.0029,0.0137
263,406527000000,0.7836,0.0146
264,406607000000,-0.2079,0.0758
265,406642000000,-0.0851,0.1292
