,Time,LinearV,AngularV
0,0.0,0.0,0.0
1,6449543000000,0.0,0.1
2,6449577000000,0.0,0.1
3,6449616000000,0.0,0.1
4,6449650000000,0.0,0.1
5,6449691000000,0.0,0.1
6,6449731000000,0.0,0.1
7,6449765000000,0.0,0.1
8,6449810000000,0.0,0.1
9,6449856000000,0.0,0.1
10,6449897000000,0.0,0.1
11,6449932000000,0.0,0.1
12,6449967000000,0.0,0.1
13,6450012000000,0.0,0.1
14,6450051000000,0.0,0.1
15,6450085000000,0.0,0.1
16,6450130000000,0.0,0.1
17,6450165000000,0.0,0.1
18,6450208000000,0.0,0.1
19,6450246000000,0.0,0.1
20,6450282000000,0.0,0.1
21,6450319000000,0.0,0.1
22,6450359000000,0.0,0.1
23,6450407000000,0.0,0.1
24,6450448000000,0.0,0.1
25,6450485000000,0.0,0.1
26,6450526000000,0.0,0.1
27,6450564000000,0.0,0.1
28,6450604000000,0.0,0.1
29,6450639000000,0.0,0.1
30,6450680000000,0.0,0.1
31,6450717000000,0.0,0.1
32,6450762000000,0.0,0.1
33,6450807000000,0.0,0.1
34,6450851000000,0.0,0.1
35,6450885000000,0.0,0.1
36,6450929000000,0.0,0.1
37,6450968000000,0.005,0.1
38,6451005000000,0.005,0.1
39,6451043000000,0.01,0.1
40,6451086000000,0.015,0.1
41,6451122000000,0.015,0.1
42,6451164000000,0.015,0.1
43,6451205000000,0.02,0.1
44,6451240000000,0.02,0.1
45,6451281000000,0.025,0.1
46,6451318000000,0.025,0.1
47,6451359000000,0.025,0.1
48,6451393000000,0.03,0.1
49,6451438000000,0.03,0.1
50,6451478000000,0.035,0.1
51,6451512000000,0.035,0.1
52,6451560000000,0.035,0.1
53,6451599000000,0.04,0.1
54,6451641000000,0.04,0.1
55,6451687000000,0.04,0.1
56,6451721000000,0.04,0.1
57,6451765000000,0.04,0.1
58,6451800000000,0.04,0.1
59,6451834000000,0.04,0.1
60,6451874000000,0.04,0.1
61,6451912000000,0.04,0.1
62,6451951000000,0.04,0.1
63,6451992000000,0.04,0.1
64,6452037000000,0.04,0.1
65,6452084000000,0.04,0.1
66,6452123000000,0.04,0.1
67,6452167000000,0.04,0.1
68,6452206000000,0.04,0.1
69,6452243000000,0.04,0.1
70,6452281000000,0.04,0.1
71,6452322000000,0.04,0.1
72,6452362000000,0.04,0.1
73,6452396000000,0.04,0.1
74,6452440000000,0.04,0.1
75,6452478000000,0.04,0.1
76,6452516000000,0.04,0.1
77,6452552000000,0.04,0.1
78,6452591000000,0.04,0.1
79,6452627000000,0.04,0.1
80,6452663000000,0.04,0.1
81,6452705000000,0.04,0.1
82,6452740000000,0.04,0.1
83,6452775000000,0.04,0.1
84,6452818000000,0.04,0.1
85,6452860000000,0.04,0.1
86,6452895000000,0.04,0.1
87,6452937000000,0.04,0.1
88,6452978000000,0.04,0.1
89,6453021000000,0.04,0.1
90,6453058000000,0.04,0.1
91,6453100000000,0.04,0.1
92,6453140000000,0.04,0.1
93,6453179000000,0.04,0.1
94,6453215000000,0.04,0.1
95,6453252000000,0.04,0.1
96,6453286000000,0.04,0.1
97,6453321000000,0.04,0.1
98,6453362000000,0.04,0.1
99,6453402000000,0.04,0.1
100,6453440000000,0.04,0.1
101,6453480000000,0.04,0.1
102,6453520000000,0.04,0.1
103,6453555000000,0.04,0.1
104,6453594000000,0.04,0.1
105,6453630000000,0.04,0.1
106,6453670000000,0.04,0.1
107,6453711000000,0.04,0.1
108,6453746000000,0.04,0.1
109,6453781000000,0.04,0.1
110,6453823000000,0.04,0.1
111,6453857000000,0.04,0.1
112,6453892000000,0.04,0.1
113,6453930000000,0.04,0.1
114,6453971000000,0.04,0.1
115,6454005000000,0.04,0.1
116,6454045000000,0.04,0.1
117,6454082000000,0.04,0.1
118,6454117000000,0.04,0.1
119,6454155000000,0.04,0.1
120,6454195000000,0.04,0.1
121,6454233000000,0.04,0.1
122,6454277000000,0.045,0.1
123,6454312000000,0.045,0.1
124,6454352000000,0.045,0.1
125,6454387000000,0.05,0.1
126,6454423000000,0.05,0.1
127,6454461000000,0.05,0.1
128,6454503000000,0.05,0.1
129,6454538000000,0.05,0.1
130,6454578000000,0.05,0.1
131,6454619000000,0.05,0.1
132,6454653000000,0.055,0.1
133,6454694000000,0.055,0.1
134,6454729000000,0.06,0.1
135,6454763000000,0.06,0.1
136,6454804000000,0.06,0.1
137,6454847000000,0.06,0.1
138,6454885000000,0.06,0.1
139,6454923000000,0.06,0.1
140,6454964000000,0.06,0.1
141,6455000000000,0.06,0.1
142,6455043000000,0.06,0.1
143,6455083000000,0.06,0.1
144,6455122000000,0.06,0.1
145,6455159000000,0.06,0.1
146,6455204000000,0.06,0.1
147,6455246000000,0.06,0.1
148,6455286000000,0.06,0.1
149,6455321000000,0.06,0.1
150,6455357000000,0.06,0.1
151,6455401000000,0.06,0.1
152,6455445000000,0.06,0.1
153,6455482000000,0.06,0.1
154,6455526000000,0.06,0.1
155,6455567000000,0.06,0.1
156,6455601000000,0.06,0.1
157,6455635000000,0.06,0.1
158,6455673000000,0.06,0.1
159,6455715000000,0.06,0.1
160,6455750000000,0.06,0.1
161,6455796000000,0.06,0.1
162,6455833000000,0.06,0.1
163,6455871000000,0.06,0.1
164,6455907000000,0.06,0.1
165,6455941000000,0.06,0.1
166,6455978000000,0.06,0.1
167,6456014000000,0.06,0.1
168,6456049000000,0.06,0.1
169,6456085000000,0.06,0.1
170,6456129000000,0.06,0.1
171,6456176000000,0.06,0.1
172,6456210000000,0.06,0.1
173,6456246000000,0.06,0.1
174,6456281000000,0.06,0.1
175,6456316000000,0.06,0.1
