# LinearA, AngularV, Angle
-0.009500,-0.157500,-0.002625
-0.004600,-0.114600,-0.000458
-0.004300,-0.105900,-0.002353
-0.000500,-0.054600,-0.000072
-0.000100,-0.045600,-0.000179
0.000100,-0.028700,-0.000104
0.000200,-0.028400,-0.000247
0.001300,-0.060200,-0.000149
0.000800,-0.060200,-0.001505
0.000800,-0.051700,-0.000398
0.002100,-0.051000,-0.000425
0.000000,-0.000000,-0.000000
-0.000300,0.007900,0.000022
-0.000500,0.015900,0.000212
-0.000200,0.007600,0.000061
-0.000500,0.015700,0.000174
-0.000100,0.007000,0.000030
-0.000400,0.015200,0.000082
-0.000400,0.014800,0.000090
-0.000400,0.014800,0.000423
-0.000800,0.030900,0.000238
-0.000800,0.030900,0.000772
-0.001100,0.054800,0.000166
-0.000800,0.054300,0.000302
-0.000500,0.053700,0.000215
-0.000500,0.079600,0.000549
-0.001300,0.042200,0.000075
-0.000400,-0.036400,-0.000303
-0.000100,-0.019600,-0.000101
-0.000200,-0.027600,-0.000230
0.000400,0.044600,0.000083
0.000400,0.044600,0.000991
-0.000200,-0.037000,-0.000151
0.000100,0.020200,0.000269
0.000100,0.012000,0.000141
0.000100,0.012000,0.000300
0.000800,0.052400,0.000106
0.000900,0.052100,0.000316
0.002300,0.075600,0.000226
0.007500,0.140500,0.000375
0.006900,0.114900,0.000792
0.007200,0.114900,0.001352
0.014600,0.181000,0.000710
0.015200,0.181000,0.005171
0.019600,0.196200,0.001189
0.024500,0.211300,0.000899
0.051000,0.340800,0.001336
0.535500,0.247400,0.000284
0.083500,0.336800,0.001161
0.088100,0.347100,0.001827
0.074300,0.308600,0.000894
0.076700,0.299200,0.002302
0.076400,0.299200,0.006649
0.077900,0.306300,0.006126
0.077600,0.306300,0.008751
0.076900,0.306300,0.004084
0.058800,0.260500,0.000482
0.046900,0.233200,0.000777
-0.303300,0.120900,0.001007
0.315700,0.224400,0.001662
0.045600,0.288100,0.001176
0.033200,0.284200,0.000801
0.033600,0.324200,0.003602
-0.000400,0.285000,0.000380
-0.004300,0.275700,0.002757
-0.012200,0.250200,0.000981
-0.937200,0.289000,0.001376
-0.026400,0.219000,0.000476
-0.035300,0.250300,0.001284
-0.034100,0.241500,0.001464
-0.037900,0.241400,0.003018
-0.048100,0.265200,0.001657
-0.054700,0.289000,0.003853
-0.042800,0.214300,0.001587
-0.051900,0.209800,0.000261
-0.052100,0.209800,0.005245
-0.058900,0.232700,0.001330
-0.061600,0.240000,0.001200
-0.063100,0.247400,0.002749
-0.060000,0.249700,0.000285
-0.027500,0.230300,0.000668
-0.025700,0.167500,0.000168
-0.025300,0.167500,0.004786
-0.023100,0.166200,0.001007
-0.011700,0.083000,0.000148
-0.843100,0.037200,0.000053
0.000100,-0.000100,-0.000003
0.000000,-0.000100,-0.000003
0.002600,0.006000,0.000050
-0.000700,0.007900,0.000176
0.007900,-0.091500,-0.000113
0.005300,-0.054100,-0.000123
0.003600,-0.029200,-0.000045
0.714700,-0.029000,-0.000483
0.011800,-0.084400,-0.000095
0.940300,-0.093600,-0.000425
0.874300,-0.069700,-0.000268
-0.784000,-0.047300,-0.001051
0.014100,-0.124300,-0.002260
0.718100,-0.135600,-0.003874
0.045000,-0.106800,-0.002670
0.011400,-0.110200,-0.000816
0.011100,-0.117900,-0.003369
0.012100,-0.117900,-0.001684
0.004500,-0.043900,-0.000462
-0.431700,-0.311700,-0.000572
0.027100,-0.233100,-0.005828
0.426000,-0.002300,-0.000020
-0.052300,-0.180100,-0.001566
0.019900,-0.120500,-0.002191
-0.008200,0.070700,0.000191
0.006900,-0.896800,-0.002086
-0.044500,-1.813700,-0.004651
-0.007000,-1.485300,-0.003961
-0.012000,-1.485300,-0.033007
-0.006800,-0.896800,-0.001482
-0.005700,-0.896800,-0.005275
-0.004200,-0.896800,-0.005605
-0.003800,-0.896800,-0.025623
-0.873400,-0.094300,-0.000189
-0.886800,-0.074100,-0.001852
-0.819200,-0.069400,-0.000925
0.019200,-0.159100,-0.000188
0.019700,-0.159100,-0.003978
0.024400,-0.183000,-0.001591
0.019500,-0.141500,-0.002021
0.817900,-0.093500,-0.000505
0.013600,-0.095500,-0.000375
0.006800,-0.040700,-0.000239
0.006900,-0.040700,-0.001163
-0.001400,-0.027400,-0.000056
-0.010300,0.054800,0.000154
-0.010700,0.062700,0.000392
-0.020200,0.127500,0.000440
-0.020500,0.118800,0.001485
-0.015700,0.110300,0.000630
-0.007400,0.059400,0.000131
-0.002300,0.018200,0.000165
-0.003200,0.026200,0.000291
-0.043100,0.001400,0.000040
-0.000200,0.001600,0.000046
0.002100,-0.001500,-0.000009
-0.001000,-0.027400,-0.000105
0.009200,-0.049000,-0.000516
0.006700,-0.051100,-0.000193
0.003600,-0.026300,-0.000164
0.025600,-0.076100,-0.000298
0.016700,-0.141500,-0.001887
0.031300,-0.189500,-0.000702
0.027100,-0.155600,-0.001004
-0.417700,-0.163400,-0.000908
0.027000,-0.154500,-0.001343
0.028200,-0.154500,-0.004414
0.028500,-0.154500,-0.004414
0.030800,-0.145600,-0.000416
0.051100,-0.216100,-0.000441
-0.089400,-0.271400,-0.000314
0.060100,-0.229400,-0.003529
0.040200,-0.162600,-0.000723
0.090700,-0.224600,-0.002042
-0.361800,-0.211800,-0.001842
0.042500,-0.177400,-0.000825
0.053700,-0.225100,-0.000643
0.050700,-0.216100,-0.002881
0.052300,-0.230900,-0.001283
0.029900,-0.219100,-0.000255
