# LinearV, AngularV, left, straight, right
0.010000,0.000000,0.000000,1.000000,0.000000
0.025000,0.000000,0.000000,1.000000,0.000000
0.035000,0.000000,0.000000,1.000000,0.000000
0.045000,0.000000,0.000000,1.000000,0.000000
0.050000,0.000000,0.000000,1.000000,0.000000
0.055000,0.000000,0.000000,1.000000,0.000000
0.070000,0.000000,0.000000,1.000000,0.000000
0.080000,0.000000,0.000000,1.000000,0.000000
0.095000,0.000000,0.000000,1.000000,0.000000
0.100000,0.000000,0.000000,1.000000,0.000000
0.100000,0.000000,0.000000,1.000000,0.000000
0.100000,0.000000,0.000000,1.000000,0.000000
0.100000,0.000000,0.000000,1.000000,0.000000
0.100000,0.000000,0.000000,1.000000,0.000000
0.100000,0.000000,0.000000,1.000000,0.000000
0.100000,0.000000,0.000000,1.000000,0.000000
0.100000,0.000000,0.000000,1.000000,0.000000
0.100000,0.000000,0.000000,1.000000,0.000000
0.100000,0.000000,0.000000,1.000000,0.000000
0.100000,0.000000,0.000000,1.000000,0.000000
0.100000,0.000000,0.000000,1.000000,0.000000
0.100000,0.000000,0.000000,1.000000,0.000000
0.100000,0.000000,0.000000,1.000000,0.000000
0.100000,0.000000,0.000000,1.000000,0.000000
0.100000,0.000000,0.000000,1.000000,0.000000
0.100000,0.000000,0.000000,1.000000,0.000000
0.100000,0.000000,0.000000,1.000000,0.000000
0.100000,0.000000,0.000000,1.000000,0.000000
0.100000,0.000000,0.000000,1.000000,0.000000
0.100000,0.000000,0.000000,1.000000,0.000000
0.105000,0.000000,0.000000,1.000000,0.000000
0.110000,0.000000,0.000000,1.000000,0.000000
0.110000,0.000000,0.000000,1.000000,0.000000
0.120000,0.000000,0.000000,1.000000,0.000000
0.125000,0.000000,0.000000,1.000000,0.000000
0.130000,0.000000,0.000000,1.000000,0.000000
0.140000,0.000000,0.000000,1.000000,0.000000
0.140000,0.000000,0.000000,1.000000,0.000000
0.140000,0.000000,0.000000,1.000000,0.000000
0.140000,0.000000,0.000000,1.000000,0.000000
0.140000,0.000000,0.000000,1.000000,0.000000
0.140000,0.000000,0.000000,1.000000,0.000000
