# LinearA, AngularV, Angle
-0.033300,0.383400,0.001217
0.039100,0.451300,0.001504
0.017400,0.474300,0.004312
-0.007100,0.471000,0.002141
-0.057200,0.431300,0.000737
-0.058300,0.358200,0.001885
-0.062100,0.358200,0.004776
-0.082600,0.414000,0.002179
-0.072000,0.339100,0.003569
-0.076200,0.355600,0.008890
-0.081800,0.362500,0.002900
-0.093700,0.402200,0.004469
-0.098900,0.409000,0.003557
-0.098900,0.399400,0.004438
-0.097400,0.380300,0.001435
-0.095100,0.370800,0.010594
-0.086200,0.342300,0.001245
-0.079200,0.323600,0.001505
-0.063500,0.286700,0.000745
-0.038700,0.201300,0.000510
-0.035000,0.199800,0.000850
-0.035500,0.207200,0.004144
-0.034800,0.207200,0.005180
-0.034400,0.181800,0.002272
-0.006700,0.055500,0.000074
-0.002700,0.022300,0.000131
0.002900,-0.024500,-0.000109
-0.010300,0.094100,0.000299
0.005600,-0.047800,-0.000416
-0.621200,-0.042500,-0.000567
0.007000,-0.044300,-0.000125
-0.018600,-0.149800,-0.000508
0.019300,-0.140900,-0.001281
0.016700,-0.115900,-0.001545
0.017300,-0.115900,-0.001449
0.015600,-0.107200,-0.001429
0.022700,-0.140000,-0.001867
0.021300,-0.131300,-0.001194
0.016500,-0.154300,-0.000561
0.028000,-0.154200,-0.004406
0.028400,-0.154200,-0.003427
0.038900,-0.184400,-0.000625
0.037000,-0.184400,-0.005269
0.032200,-0.159200,-0.002274
0.033200,-0.159200,-0.002274
0.027000,-0.125400,-0.000809
0.027400,-0.125400,-0.001393
0.036500,-0.165800,-0.004737
0.031700,-0.140600,-0.001125
0.033600,-0.148300,-0.003296
0.022700,-0.098200,-0.000531
0.023000,-0.098200,-0.001227
0.033400,-0.137400,-0.000509
0.038700,-0.149700,-0.000178
0.030100,-0.115900,-0.000773
0.034200,-0.131300,-0.000729
0.029800,-0.114100,-0.000423
0.023000,-0.088300,-0.000315
0.001400,0.000000,0.000000
-0.014900,0.059900,0.001498
0.003800,0.000100,0.000001
0.000000,-0.000000,-0.000000
0.008900,-0.030000,-0.000857
0.002000,-0.007600,-0.000029
0.002000,-0.007600,-0.000190
0.004100,-0.015700,-0.000209
0.004100,-0.015700,-0.000449
-0.006500,0.025200,0.000336
-0.006300,0.024500,0.000169
-0.012700,0.048900,0.000407
0.001200,0.124300,0.000111
-0.007900,0.037800,0.000124
-0.018000,0.096000,0.000337
-0.018000,0.096000,0.002133
-0.012400,0.069900,0.000499
0.002800,-0.018700,-0.000036
0.014500,-0.099800,-0.000161
0.099600,-0.298500,-0.008529
0.097300,-0.549300,-0.003544
0.098500,-0.575100,-0.012780
-0.105200,-0.452100,-0.006028
-0.244700,-0.243500,-0.006957
-0.222300,-0.421700,-0.006024
-0.396500,-0.553500,-0.004100
0.085100,-0.803400,-0.022954
-0.868200,-0.816000,-0.010880
-0.889400,-0.835600,-0.023874
0.021200,-0.903700,-0.010632
-0.000500,-1.105000,-0.007621
0.002200,-1.006300,-0.025157
0.047400,-1.691200,-0.003979
0.071600,-1.602700,-0.011053
0.073100,-1.602700,-0.045791
0.043400,-1.268300,-0.016911
-0.624900,-0.951000,-0.001981
-0.023000,-0.914500,-0.002576
-0.171600,-0.420000,-0.000667
0.082100,-0.320600,-0.004580
0.042300,-0.162900,-0.000562
0.035800,-0.137800,-0.001837
0.035800,-0.137800,-0.003937
0.047700,-0.178100,-0.004452
0.046500,-0.178100,-0.003958
0.023900,-0.092600,-0.000112
0.023900,-0.092600,-0.001323
0.021600,-0.084100,-0.000841
0.021600,-0.084100,-0.002102
0.021600,-0.084100,-0.001121
0.023400,-0.091900,-0.000484
0.000400,-0.001600,-0.000023
0.007400,-0.029000,-0.000153
-0.000000,0.000000,0.000000
-0.018500,0.073000,0.000084
-0.012300,0.048200,0.000419
-0.012300,0.048200,0.001377
0.000500,-0.071200,-0.000110
-0.010000,0.038800,0.000259
-0.026800,0.109500,0.000592
0.065400,0.104300,0.002608
-0.028100,0.108700,0.000639
-0.030100,0.116500,0.002330
-0.030100,0.116500,0.002330
-0.030200,0.116500,0.002913
-0.046600,0.180800,0.002127
-0.023400,0.090400,0.000464
-0.023400,0.090400,0.002583
-0.043700,0.171100,0.000552
-0.043600,0.171100,0.004278
-0.035100,0.158500,0.000199
-0.036700,0.163500,0.000584
-0.037500,0.171100,0.001555
-0.031400,0.161000,0.000339
-0.032200,0.168600,0.001249
-0.031200,0.168600,0.004215
-0.033800,0.185000,0.004625
-0.033300,0.185000,0.005286
-0.016800,0.124600,0.000177
-0.012800,0.122600,0.000231
-0.011400,0.113900,0.001424
-0.010400,0.081600,0.000251
-0.002100,0.029300,0.000052
-0.000600,0.017500,0.000500
0.003700,-0.044600,-0.000178
0.002000,-0.028100,-0.000351
0.000200,-0.003400,-0.000032
0.000200,-0.003400,-0.000076
0.000900,-0.011500,-0.000056
0.002700,-0.035900,-0.000126
0.001400,-0.019400,-0.000076
0.000200,-0.002800,-0.000017
0.002700,-0.035300,-0.000147
0.002200,-0.027100,-0.000361
-0.001300,0.013600,0.000160
0.000900,-0.010900,-0.000099
0.000700,-0.008100,-0.000054
0.000000,0.000000,0.000000
0.963900,-0.013900,-0.000057
-0.324600,-0.019500,-0.000260
-0.000500,0.008000,0.000100
-0.002500,0.029600,0.000197
-0.001100,0.020800,0.000078
-0.002300,0.028900,0.000231
-0.002200,0.028900,0.000321
-0.002800,0.036900,0.000527
-0.002100,0.028500,0.000150
-0.002600,0.036500,0.001043
-0.003100,0.044500,0.000318
-0.003000,0.044500,0.001271
-0.002400,0.036000,0.000800
-0.002400,0.036000,0.000900
-0.003100,0.044000,0.001257
-0.002900,0.044000,0.001100
-0.002100,0.035200,0.000107
0.038100,0.076300,0.000663
-0.519600,0.072800,0.000121
-0.001500,0.057000,0.000278
-0.887300,0.052600,0.001503
-0.001200,0.057300,0.000347
0.001300,0.049800,0.000072
0.680000,0.070500,0.000613
-0.001000,0.041400,0.000286
0.000200,0.041400,0.001183
0.000100,0.033000,0.000825
0.000300,0.041000,0.000357
0.000300,0.041000,0.001171
-0.001200,0.114400,0.001430
0.002100,0.087400,0.000165
0.014800,0.338900,0.000880
0.020600,0.427700,0.005703
0.019500,0.230700,0.001282
0.023000,0.326200,0.008155
0.035400,0.363600,0.001136
-0.360200,0.526700,0.002926
0.273400,0.763400,0.015268
0.344300,0.578200,0.005028
0.253800,0.042100,0.000205
-0.011000,1.422100,0.003694
-0.470900,1.803000,0.015025
0.000100,1.806500,0.011655
0.010600,1.168800,0.002656
0.007900,0.937800,0.003907
0.006800,0.896800,0.003986
0.006000,0.896700,0.006184
0.004900,0.896700,0.006898
0.003400,0.896700,0.005978
-0.000000,0.000000,0.000000
-0.001200,0.086200,0.000187
0.000700,-0.036200,-0.000134
0.001600,-0.068700,-0.000335
0.345500,-0.044000,-0.000587
0.005500,-0.157600,-0.000808
0.674600,-0.053700,-0.000168
0.009400,-0.141600,-0.004046
-0.631200,-0.162200,-0.001908
0.705500,-0.192700,-0.000507
0.696200,-0.266000,-0.000950
-0.483600,-0.341500,-0.009757
-0.484200,-0.510800,-0.014594
0.717800,-0.237000,-0.004740
0.077700,-0.363400,-0.001253
0.666700,-0.311700,-0.002150
0.112400,-0.437900,-0.001536
0.110200,-0.422900,-0.003845
0.109400,-0.436100,-0.002236
