# LinearV, AngularV, left, straight, right
0.195000,0.000000,0.000000,1.000000,0.000000
0.200000,0.000000,0.000000,1.000000,0.000000
0.200000,0.000000,0.000000,1.000000,0.000000
0.200000,0.000000,0.000000,1.000000,0.000000
0.200000,0.000000,0.000000,1.000000,0.000000
0.200000,0.000000,0.000000,1.000000,0.000000
0.200000,0.000000,0.000000,1.000000,0.000000
0.200000,0.000000,0.000000,1.000000,0.000000
0.200000,0.000000,0.000000,1.000000,0.000000
0.200000,0.000000,0.000000,1.000000,0.000000
0.200000,0.000000,0.000000,1.000000,0.000000
0.200000,0.000000,0.000000,1.000000,0.000000
0.200000,0.000000,0.000000,1.000000,0.000000
0.200000,0.000000,0.000000,1.000000,0.000000
0.200000,0.000000,0.000000,1.000000,0.000000
0.200000,0.000000,0.000000,1.000000,0.000000
0.200000,0.000000,0.000000,1.000000,0.000000
0.200000,0.000000,0.000000,1.000000,0.000000
0.200000,0.000000,0.000000,1.000000,0.000000
0.200000,0.000000,0.000000,1.000000,0.000000
0.200000,0.000000,0.000000,1.000000,0.000000
0.200000,0.000000,0.000000,1.000000,0.000000
0.200000,0.000000,0.000000,1.000000,0.000000
0.200000,0.000000,0.000000,1.000000,0.000000
0.200000,0.000000,0.000000,1.000000,0.000000
0.200000,0.000000,0.000000,1.000000,0.000000
0.200000,0.000000,0.000000,1.000000,0.000000
0.200000,0.000000,0.000000,1.000000,0.000000
0.200000,0.000000,0.000000,1.000000,0.000000
0.200000,0.000000,0.000000,1.000000,0.000000
0.200000,0.000000,0.000000,1.000000,0.000000
0.200000,0.000000,0.000000,1.000000,0.000000
0.200000,0.000000,0.000000,1.000000,0.000000
0.200000,0.000000,0.000000,1.000000,0.000000
0.200000,0.000000,0.000000,1.000000,0.000000
0.200000,0.000000,0.000000,1.000000,0.000000
0.200000,0.000000,0.000000,1.000000,0.000000
0.200000,0.000000,0.000000,1.000000,0.000000
0.200000,0.000000,0.000000,1.000000,0.000000
0.200000,0.000000,0.000000,1.000000,0.000000
0.200000,0.000000,0.000000,1.000000,0.000000
0.200000,0.000000,0.000000,1.000000,0.000000
0.200000,0.000000,0.000000,1.000000,0.000000
0.200000,0.000000,0.000000,1.000000,0.000000
0.200000,0.000000,0.000000,1.000000,0.000000
0.200000,0.000000,0.000000,1.000000,0.000000
0.200000,0.000000,0.000000,1.000000,0.000000
0.200000,0.000000,0.000000,1.000000,0.000000
0.200000,0.000000,0.000000,1.000000,0.000000
0.200000,0.000000,0.000000,1.000000,0.000000
