# LinearA, AngularV
0.082100,-0.320600
0.042300,-0.162900
0.035800,-0.137800
0.035800,-0.137800
0.047700,-0.178100
0.046500,-0.178100
0.023900,-0.092600
0.023900,-0.092600
0.021600,-0.084100
0.021600,-0.084100
0.021600,-0.084100
0.023400,-0.091900
0.000400,-0.001600
0.007400,-0.029000
-0.000000,0.000000
-0.018500,0.073000
-0.012300,0.048200
-0.012300,0.048200
0.000500,-0.071200
-0.010000,0.038800
-0.026800,0.109500
0.065400,0.104300
-0.028100,0.108700
-0.030100,0.116500
-0.030100,0.116500
-0.030200,0.116500
-0.046600,0.180800
-0.023400,0.090400
-0.023400,0.090400
-0.043700,0.171100
-0.043600,0.171100
-0.035100,0.158500
-0.036700,0.163500
-0.037500,0.171100
-0.031400,0.161000
-0.032200,0.168600
-0.031200,0.168600
-0.033800,0.185000
-0.033300,0.185000
-0.016800,0.124600
-0.012800,0.122600
-0.011400,0.113900
-0.010400,0.081600
-0.002100,0.029300
-0.000600,0.017500
0.003700,-0.044600
0.002000,-0.028100
0.000200,-0.003400
0.000200,-0.003400
0.000900,-0.011500
0.002700,-0.035900
0.001400,-0.019400
0.000200,-0.002800
0.002700,-0.035300
0.002200,-0.027100
-0.001300,0.013600
0.000900,-0.010900
0.000700,-0.008100
0.000000,0.000000
0.963900,-0.013900
-0.324600,-0.019500
-0.000500,0.008000
-0.002500,0.029600
-0.001100,0.020800
-0.002300,0.028900
-0.002200,0.028900
-0.002800,0.036900
-0.002100,0.028500
-0.002600,0.036500
-0.003100,0.044500
-0.003000,0.044500
-0.002400,0.036000
-0.002400,0.036000
-0.003100,0.044000
-0.002900,0.044000
-0.002100,0.035200
0.038100,0.076300
-0.519600,0.072800
-0.001500,0.057000
-0.887300,0.052600
-0.001200,0.057300
0.001300,0.049800
0.680000,0.070500
-0.001000,0.041400
0.000200,0.041400
0.000100,0.033000
0.000300,0.041000
0.000300,0.041000
-0.001200,0.114400
0.002100,0.087400
0.014800,0.338900
0.020600,0.427700
0.019500,0.230700
0.023000,0.326200
0.035400,0.363600
-0.360200,0.526700
0.273400,0.763400
0.344300,0.578200
0.253800,0.042100
-0.011000,1.422100
-0.470900,1.803000
0.000100,1.806500
0.010600,1.168800
0.007900,0.937800
0.006800,0.896800
0.006000,0.896700
0.004900,0.896700
0.003400,0.896700
-0.000000,0.000000
-0.001200,0.086200
0.000700,-0.036200
0.001600,-0.068700
0.345500,-0.044000
0.005500,-0.157600
0.674600,-0.053700
0.009400,-0.141600
-0.631200,-0.162200
0.705500,-0.192700
0.696200,-0.266000
-0.483600,-0.341500
-0.484200,-0.510800
0.717800,-0.237000
0.077700,-0.363400
0.666700,-0.311700
0.112400,-0.437900
0.110200,-0.422900
0.109400,-0.436100
0.189900,-0.566500
0.482600,-0.456900
0.193300,-0.524000
0.094300,-0.481100
0.087900,-0.503900
0.090700,-0.543000
0.020900,-0.493100
-0.031300,-0.429300
-0.050500,-0.436000
-0.066200,-0.339100
-0.050600,-0.315300
-0.060600,-0.287600
-0.062600,-0.287600
-0.050300,-0.201600
-0.050800,-0.201600
-0.136100,-0.143400
-0.052600,-0.216600
-0.032300,-0.124800
0.005900,0.022800
0.005900,0.022900
0.037300,0.144700
0.018200,0.070600
0.020700,0.080300
0.038900,0.153700
0.039200,0.153600
0.046400,0.185100
0.044200,0.183300
0.039600,0.179200
0.039400,0.179200
0.036500,0.185400
0.022900,0.117600
0.027100,0.218800
0.007000,0.141800
0.005400,0.129800
0.004800,0.150500
0.004200,0.079700
0.024900,0.185700
0.001600,0.094800
0.000900,0.086200
0.002500,0.249000
-0.553800,0.199500
-0.000900,0.117600
-0.000600,0.059800
-0.000700,0.059200
-0.000700,0.042500
-0.000600,0.034100
-0.000600,0.034100
0.002800,0.896900
0.003300,0.896900
0.010800,1.238300
0.007200,0.896800
0.003600,0.896700
0.003100,0.896700
-0.692300,0.624700
-0.693300,0.324800
-0.000000,0.000000
-0.877400,0.013300
-0.887300,0.027000
0.002000,-0.071700
0.040700,-0.029300
-0.000000,-0.000000
0.000000,-0.000000
0.001000,-0.024300
0.001400,-0.032300
0.000700,-0.015500
0.000700,-0.015500
0.000300,-0.007300
-0.001900,0.048600
-0.001300,0.039700
-0.001100,0.039300
-0.001100,0.039300
-0.001300,0.119600
-0.001100,0.119600
-0.875800,0.157100
0.016300,0.164800
0.036800,0.255800
0.043100,0.279500
0.044000,0.218300
0.038500,0.174800
0.044300,0.200600
0.030600,0.148400
0.019700,0.082400
0.348600,0.132900
-0.018700,-0.081300
0.802300,0.012000
-0.026800,-0.111000
-0.014800,-0.168700
-0.032900,-0.142300
-0.041300,-0.182700
-0.040700,-0.266700
-0.033500,-0.256000
-0.004300,-0.219700
-0.004400,-0.190000
-0.003500,-0.190000
-0.460800,-0.246000
-0.559300,-0.373000
0.022100,-0.572800
0.086900,-0.529700
-0.671100,-0.061100
-0.850800,-0.091100
0.106300,-0.628900
0.115900,-0.618500
0.441400,-0.558900
0.125600,-0.490400
0.077900,-0.392100
0.089300,-0.405800
0.090000,-0.374300
0.679500,-0.361200
0.078000,-0.352300
0.075200,-0.356600
-0.105100,-0.300800
-0.057500,-0.291500
0.766000,-0.305600
0.022400,-0.190100
0.008000,-0.097800
0.623700,-0.124400
-0.787100,0.075000
-0.011900,0.154000
-0.028100,0.272900
-0.025100,0.231100
-0.517200,0.169100
0.000000,0.000000
0.376500,0.879500
0.019000,1.813600
0.011600,1.813600
-0.078200,1.750400
-0.499000,1.456500
-0.006700,0.896800
-0.005900,0.896700
-0.004800,0.896700
-0.002700,0.896700
0.053200,0.760900
0.000900,0.173200
-0.000200,0.131700
-0.196900,0.048500
0.063300,-0.057300
0.245600,-0.057900
0.001100,-0.091400
-0.000100,-0.123300
-0.000300,-0.114600
-0.000600,-0.114600
0.597900,-0.037000
-0.970000,-0.092200
0.608300,0.014900
-0.639800,0.035400
-0.968800,-0.026700
0.040200,-0.101000
-0.003500,-0.126400
-0.003600,-0.093000
-0.377100,0.004300
-0.001600,-0.032700
-0.002500,-0.032600
0.001300,0.024000
0.004300,0.081100
0.005400,0.184800
-0.052500,0.191000
-0.001000,0.191000
-0.013400,0.186000
-0.017400,0.226300
-0.019000,0.226300
-0.024100,0.241200
-0.952900,0.193000
-0.071000,0.177400
-0.050600,0.283700
-0.040900,0.192600
-0.061000,0.272900
-0.029800,0.210500
-0.069400,0.285700
-0.077100,0.309200
0.135300,0.250900
-0.071700,0.300000
0.085700,0.264200
-0.062000,0.241700
-0.074400,0.289100
-0.076000,0.296300
-0.051300,0.237600
-0.050700,0.237600
-0.044200,0.219500
-0.044500,0.219600
-0.044100,0.226900
-0.038000,0.208900
-0.037600,0.208900
-0.011600,0.089900
-0.011500,0.089900
-0.006800,0.056400
0.004100,0.064300
-0.007600,0.064200
-0.002600,0.022600
0.007700,0.119800
0.007600,-0.066600
0.021300,-0.155700
0.030000,-0.143100
0.025300,-0.162300
0.032500,-0.185400
0.060900,-0.270300
0.077300,-0.326600
0.053000,-0.219100
0.081800,-0.311100
0.040100,-0.186500
0.032400,-0.172200
-0.816500,-0.151500
0.016400,-0.128800
-0.838900,-0.119600
-0.643200,-0.111200
0.010400,-0.111300
0.009100,-0.104100
0.008900,-0.095300
0.007900,-0.095400
0.008700,-0.103100
0.005100,-0.087200
0.001600,-0.029500
-0.000000,0.000100
-0.012400,0.190600
-0.013300,0.198200
-0.013900,0.198200
-0.071600,0.775800
-0.726000,0.315800
-0.480100,0.523900
-0.134400,1.276100
0.029500,1.311700
0.573300,1.251800
0.318400,1.624600
0.049300,1.625900
0.036900,1.625900
-0.547800,1.130800
-0.537900,1.093000
