,Time,LinearV,AngularV
0,0.0,0.0,0.0
1,14437137000000,0.01,0.0
2,14437182000000,0.01,0.0
3,14437228000000,0.01,0.0
4,14437262000000,0.01,0.0
5,14437296000000,0.01,0.0
6,14437339000000,0.01,0.0
7,14437376000000,0.01,0.0
8,14437417000000,0.01,0.0
9,14437458000000,0.01,0.0
10,14437497000000,0.01,0.0
11,14437535000000,0.01,0.0
12,14437570000000,0.01,0.0
13,14437607000000,0.01,0.0
14,14437643000000,0.015,0.0
15,14437687000000,0.015,0.0
16,14437732000000,0.015,0.0
17,14437770000000,0.02,0.0
18,14437818000000,0.02,0.0
19,14437854000000,0.02,0.0
20,14437891000000,0.02,0.0
21,14437934000000,0.02,0.0
22,14437968000000,0.02,0.0
23,14438002000000,0.02,0.0
24,14438039000000,0.02,0.0
25,14438080000000,0.02,0.0
26,14438116000000,0.02,0.0
27,14438151000000,0.02,0.0
28,14438186000000,0.02,0.0
29,14438222000000,0.02,0.0
30,14438262000000,0.02,0.0
31,14438300000000,0.02,0.0
32,14438334000000,0.02,0.0
33,14438374000000,0.02,0.0
34,14438411000000,0.02,0.0
35,14438445000000,0.02,0.0
36,14438486000000,0.02,0.0
37,14438520000000,0.02,0.0
38,14438559000000,0.02,0.0
39,14438602000000,0.02,0.0
40,14438643000000,0.02,0.0
41,14438686000000,0.02,0.0
42,14438732000000,0.02,0.0
43,14438766000000,0.02,0.0
44,14438802000000,0.02,0.0
45,14438840000000,0.02,0.0
46,14438878000000,0.02,0.0
47,14438913000000,0.02,0.0
48,14438955000000,0.02,0.0
49,14438995000000,0.02,0.0
50,14439030000000,0.02,0.0
51,14439077000000,0.02,0.0
52,14439115000000,0.02,0.0
53,14439158000000,0.02,0.0
54,14439194000000,0.02,0.0
55,14439229000000,0.02,0.0
56,14439267000000,0.02,0.0
57,14439308000000,0.02,0.0
58,14439355000000,0.02,0.0
59,14439392000000,0.02,0.0
60,14439434000000,0.02,0.0
61,14439469000000,0.02,0.0
62,14439511000000,0.02,0.0
63,14439552000000,0.02,0.0
64,14439589000000,0.02,0.0
65,14439627000000,0.02,0.0
66,14439663000000,0.02,0.0
67,14439705000000,0.02,0.0
68,14439743000000,0.02,0.0
69,14439784000000,0.02,0.0
70,14439818000000,0.02,0.0
71,14439852000000,0.02,0.0
72,14439895000000,0.02,0.0
73,14439939000000,0.02,0.0
74,14439979000000,0.02,0.0
75,14440021000000,0.02,0.0
76,14440055000000,0.02,0.0
77,14440094000000,0.02,0.0
78,14440137000000,0.02,0.0
79,14440173000000,0.02,0.0
80,14440210000000,0.02,0.0
81,14440248000000,0.02,0.0
82,14440293000000,0.02,0.0
83,14440327000000,0.02,0.0
84,14440365000000,0.02,0.0
85,14440400000000,0.02,0.0
86,14440436000000,0.02,0.0
87,14440473000000,0.02,0.0
88,14440518000000,0.02,0.0
89,14440560000000,0.02,0.0
90,14440594000000,0.02,0.0
91,14440633000000,0.02,0.0
92,14440672000000,0.02,0.0
93,14440712000000,0.02,0.0
94,14440748000000,0.02,0.0
95,14440792000000,0.02,0.0
96,14440826000000,0.02,0.0
97,14440863000000,0.02,0.0
98,14440901000000,0.02,0.0
99,14440936000000,0.02,0.0
100,14440973000000,0.02,0.0
101,14441007000000,0.02,0.0
102,14441044000000,0.02,0.0
103,14441085000000,0.02,0.0
104,14441120000000,0.02,0.0
105,14441159000000,0.02,0.0
106,14441196000000,0.02,0.0
107,14441230000000,0.02,0.0
108,14441267000000,0.02,0.0
109,14441304000000,0.02,0.0
110,14441340000000,0.02,0.0
111,14441385000000,0.02,0.0
112,14441422000000,0.02,0.0
113,14441460000000,0.02,0.0
114,14441496000000,0.02,0.0
115,14441531000000,0.02,0.0
116,14441572000000,0.02,0.0
117,14441612000000,0.02,0.0
118,14441648000000,0.02,0.0
119,14441684000000,0.02,0.0
120,14441722000000,0.02,0.0
121,14441770000000,0.02,0.0
122,14441815000000,0.02,0.0
123,14441854000000,0.02,0.0
124,14441890000000,0.02,0.0
125,14441925000000,0.02,0.0
126,14441959000000,0.02,0.0
127,14441995000000,0.02,0.0
128,14442035000000,0.02,0.0
