,Time,LinearV,AngularV
0,0.0,0.0,0.0
1,14921124000000,0.16,-0.1
2,14921158000000,0.16,-0.1
3,14921193000000,0.15,-0.1
4,14921227000000,0.145,-0.1
5,14921271000000,0.14,-0.1
6,14921315000000,0.13,-0.1
7,14921350000000,0.125,-0.1
8,14921386000000,0.12,-0.1
9,14921421000000,0.115,-0.1
10,14921455000000,0.11,-0.1
11,14921490000000,0.11,-0.1
12,14921524000000,0.11,-0.1
13,14921561000000,0.105,-0.1
14,14921601000000,0.105,-0.1
15,14921636000000,0.1,-0.1
16,14921681000000,0.1,-0.1
17,14921722000000,0.1,-0.1
18,14921756000000,0.09,-0.1
19,14921797000000,0.09,-0.1
20,14921832000000,0.09,-0.1
21,14921868000000,0.085,-0.1
22,14921902000000,0.085,-0.1
23,14921937000000,0.085,-0.1
24,14921971000000,0.08,-0.1
25,14922005000000,0.08,-0.1
26,14922045000000,0.075,-0.1
27,14922082000000,0.075,-0.1
28,14922122000000,0.075,-0.1
29,14922163000000,0.07,-0.1
30,14922201000000,0.07,-0.1
31,14922235000000,0.07,-0.1
32,14922278000000,0.06,-0.1
33,14922319000000,0.055,-0.1
34,14922364000000,0.05,-0.1
35,14922404000000,0.045,-0.1
36,14922443000000,0.035,-0.1
37,14922477000000,0.035,-0.1
38,14922519000000,0.03,-0.1
39,14922553000000,0.03,-0.1
40,14922593000000,0.025,-0.1
41,14922634000000,0.025,-0.1
42,14922680000000,0.025,-0.1
43,14922716000000,0.02,-0.1
44,14922752000000,0.02,-0.1
45,14922797000000,0.015,-0.1
46,14922837000000,0.015,-0.1
47,14922883000000,0.015,-0.1
48,14922917000000,0.01,-0.1
49,14922958000000,0.01,-0.1
50,14922993000000,0.005,-0.1
51,14923030000000,0.005,-0.1
52,14923065000000,0.005,-0.1
53,14923104000000,-0.0,-0.1
54,14923148000000,-0.0,-0.1
55,14923183000000,-0.0,-0.1
56,14923225000000,-0.005,-0.1
57,14923266000000,-0.005,-0.1
58,14923305000000,-0.01,-0.1
59,14923344000000,-0.01,-0.1
60,14923381000000,-0.01,-0.1
61,14923423000000,-0.015,-0.1
62,14923466000000,-0.015,-0.1
63,14923500000000,-0.02,-0.1
64,14923545000000,-0.02,-0.1
65,14923581000000,-0.025,-0.1
66,14923615000000,-0.025,-0.1
67,14923655000000,-0.03,-0.1
68,14923702000000,-0.03,-0.1
69,14923747000000,-0.03,-0.1
70,14923786000000,-0.035,-0.1
71,14923826000000,-0.035,-0.1
72,14923864000000,-0.04,-0.1
73,14923902000000,-0.04,-0.1
74,14923938000000,-0.04,-0.1
75,14923974000000,-0.045,-0.1
76,14924022000000,-0.045,-0.1
77,14924058000000,-0.05,-0.1
78,14924102000000,-0.05,-0.1
79,14924140000000,-0.05,-0.1
80,14924188000000,-0.055,-0.1
81,14924223000000,-0.055,-0.1
82,14924259000000,-0.06,-0.1
83,14924306000000,-0.06,-0.1
84,14924347000000,-0.06,-0.1
85,14924385000000,-0.06,-0.1
86,14924433000000,-0.06,-0.1
87,14924471000000,-0.06,-0.1
88,14924505000000,-0.06,-0.1
89,14924542000000,-0.06,-0.1
90,14924580000000,-0.06,-0.1
91,14924617000000,-0.06,-0.1
92,14924651000000,-0.06,-0.1
93,14924688000000,-0.06,-0.1
94,14924733000000,-0.06,-0.1
95,14924769000000,-0.06,-0.1
96,14924816000000,-0.06,-0.1
97,14924850000000,-0.06,-0.1
98,14924892000000,-0.06,-0.1
99,14924929000000,-0.06,-0.1
100,14924969000000,-0.06,-0.1
101,14925007000000,-0.06,-0.1
102,14925047000000,-0.06,-0.1
103,14925085000000,-0.06,-0.1
104,14925120000000,-0.06,-0.1
105,14925162000000,-0.06,-0.1
106,14925199000000,-0.06,-0.1
107,14925240000000,-0.06,-0.1
108,14925285000000,-0.06,-0.1
109,14925325000000,-0.06,-0.1
110,14925367000000,-0.06,-0.1
111,14925416000000,-0.06,-0.1
112,14925458000000,-0.06,-0.1
113,14925497000000,-0.06,-0.1
114,14925532000000,-0.06,-0.1
115,14925573000000,-0.06,-0.1
116,14925611000000,-0.06,-0.1
117,14925651000000,-0.06,-0.1
118,14925687000000,-0.06,-0.1
119,14925727000000,-0.06,-0.1
120,14925770000000,-0.06,-0.1
121,14925805000000,-0.06,-0.1
122,14925841000000,-0.06,-0.1
123,14925883000000,-0.06,-0.1
124,14925923000000,-0.06,-0.1
