,Time,LinearV,AngularV
0,0.0,0.0,0.0
1,15721180000000,0.0,-0.1
2,15721217000000,0.0,-0.1
3,15721262000000,0.0,-0.1
4,15721303000000,0.0,-0.1
5,15721347000000,0.0,-0.1
6,15721381000000,0.0,-0.1
7,15721418000000,0.0,-0.1
8,15721455000000,0.0,-0.1
9,15721502000000,0.0,-0.1
10,15721537000000,0.0,-0.1
11,15721574000000,0.0,-0.1
12,15721609000000,0.0,-0.1
13,15721643000000,0.0,-0.1
14,15721681000000,0.0,-0.1
15,15721716000000,0.0,-0.1
16,15721756000000,0.0,-0.1
17,15721795000000,0.0,-0.1
18,15721831000000,0.0,-0.1
19,15721871000000,0.0,-0.1
20,15721905000000,0.0,-0.1
21,15721951000000,0.0,-0.1
22,15721987000000,0.0,-0.1
23,15722021000000,0.0,-0.1
24,15722062000000,0.0,-0.1
25,15722096000000,0.0,-0.1
26,15722137000000,0.0,-0.1
27,15722172000000,0.005,-0.1
28,15722212000000,0.005,-0.1
29,15722257000000,0.005,-0.1
30,15722294000000,0.01,-0.1
31,15722331000000,0.01,-0.1
32,15722367000000,0.01,-0.1
33,15722411000000,0.01,-0.1
34,15722445000000,0.01,-0.1
35,15722486000000,0.01,-0.1
36,15722524000000,0.01,-0.1
37,15722559000000,0.01,-0.1
38,15722594000000,0.015,-0.1
39,15722641000000,0.015,-0.1
40,15722677000000,0.02,-0.1
41,15722720000000,0.02,-0.1
42,15722761000000,0.02,-0.1
43,15722795000000,0.02,-0.1
44,15722838000000,0.02,-0.1
45,15722881000000,0.02,-0.1
46,15722927000000,0.02,-0.1
47,15722963000000,0.02,-0.1
48,15722997000000,0.02,-0.1
49,15723035000000,0.02,-0.1
50,15723074000000,0.02,-0.1
51,15723115000000,0.02,-0.1
52,15723158000000,0.02,-0.1
53,15723194000000,0.02,-0.1
54,15723235000000,0.02,-0.1
55,15723269000000,0.025,-0.1
56,15723306000000,0.025,-0.1
57,15723348000000,0.03,-0.1
58,15723388000000,0.03,-0.1
59,15723423000000,0.03,-0.1
60,15723464000000,0.03,-0.1
61,15723499000000,0.03,-0.1
62,15723543000000,0.03,-0.1
63,15723577000000,0.03,-0.1
64,15723615000000,0.03,-0.1
65,15723649000000,0.03,-0.1
66,15723689000000,0.03,-0.1
67,15723724000000,0.03,-0.1
68,15723764000000,0.03,-0.1
69,15723805000000,0.03,-0.1
70,15723839000000,0.03,-0.1
71,15723875000000,0.03,-0.1
72,15723914000000,0.03,-0.1
73,15723954000000,0.03,-0.1
74,15723990000000,0.03,-0.1
75,15724030000000,0.03,-0.1
76,15724070000000,0.03,-0.1
77,15724104000000,0.03,-0.1
78,15724146000000,0.03,-0.1
79,15724186000000,0.03,-0.1
80,15724222000000,0.03,-0.1
81,15724271000000,0.03,-0.1
82,15724306000000,0.03,-0.1
83,15724347000000,0.03,-0.1
84,15724385000000,0.03,-0.1
85,15724429000000,0.03,-0.1
86,15724463000000,0.035,-0.1
87,15724505000000,0.035,-0.1
88,15724546000000,0.04,-0.1
89,15724588000000,0.04,-0.1
90,15724625000000,0.04,-0.1
91,15724667000000,0.04,-0.1
92,15724707000000,0.04,-0.1
93,15724745000000,0.04,-0.1
94,15724779000000,0.04,-0.1
95,15724813000000,0.04,-0.1
96,15724847000000,0.04,-0.1
97,15724884000000,0.04,-0.1
98,15724919000000,0.04,-0.1
99,15724961000000,0.04,-0.1
100,15725000000000,0.04,-0.1
101,15725044000000,0.04,-0.1
102,15725078000000,0.04,-0.1
103,15725112000000,0.04,-0.1
104,15725155000000,0.04,-0.1
105,15725195000000,0.04,-0.1
106,15725236000000,0.04,-0.1
107,15725278000000,0.04,-0.1
108,15725312000000,0.04,-0.1
109,15725359000000,0.04,-0.1
110,15725398000000,0.04,-0.1
111,15725433000000,0.04,-0.1
112,15725467000000,0.04,-0.1
113,15725503000000,0.04,-0.1
114,15725552000000,0.04,-0.1
115,15725587000000,0.04,-0.1
116,15725638000000,0.04,-0.1
117,15725679000000,0.04,-0.1
118,15725722000000,0.04,-0.1
119,15725763000000,0.04,-0.1
120,15725810000000,0.04,-0.1
121,15725851000000,0.04,-0.1
122,15725891000000,0.04,-0.1
123,15725930000000,0.04,-0.1
124,15725978000000,0.04,-0.1
125,15726021000000,0.04,-0.1
126,15726066000000,0.04,-0.1
127,15726101000000,0.04,-0.1
128,15726140000000,0.04,-0.1
129,15726178000000,0.04,-0.1
130,15726217000000,0.04,-0.1
131,15726258000000,0.04,-0.1
132,15726295000000,0.04,-0.1
133,15726335000000,0.04,-0.1
134,15726378000000,0.04,-0.1
135,15726414000000,0.04,-0.1
136,15726451000000,0.04,-0.1
137,15726494000000,0.04,-0.1
138,15726542000000,0.04,-0.1
139,15726581000000,0.04,-0.1
140,15726622000000,0.04,-0.1
141,15726657000000,0.04,-0.1
142,15726699000000,0.04,-0.1
143,15726734000000,0.04,-0.1
144,15726775000000,0.04,-0.1
145,15726821000000,0.04,-0.1
146,15726859000000,0.04,-0.1
147,15726900000000,0.04,-0.1
148,15726936000000,0.04,-0.1
149,15726980000000,0.04,-0.1
150,15727018000000,0.04,-0.1
151,15727057000000,0.04,-0.1
152,15727093000000,0.04,-0.1
153,15727130000000,0.04,-0.1
154,15727169000000,0.04,-0.1
155,15727210000000,0.04,-0.1
156,15727245000000,0.04,-0.1
157,15727290000000,0.04,-0.1
158,15727329000000,0.04,-0.1
159,15727366000000,0.04,-0.1
160,15727400000000,0.04,-0.1
161,15727438000000,0.04,-0.1
162,15727472000000,0.04,-0.1
163,15727507000000,0.04,-0.1
164,15727546000000,0.04,-0.1
165,15727582000000,0.04,-0.1
166,15727627000000,0.04,-0.1
167,15727665000000,0.04,-0.1
168,15727710000000,0.04,-0.1
169,15727748000000,0.04,-0.1
170,15727792000000,0.04,-0.1
171,15727831000000,0.04,-0.1
172,15727868000000,0.04,-0.1
173,15727907000000,0.04,-0.1
174,15727945000000,0.04,-0.1
175,15727991000000,0.04,-0.1
176,15728025000000,0.04,-0.1
177,15728068000000,0.04,-0.1
178,15728106000000,0.04,-0.1
179,15728141000000,0.04,-0.1
180,15728181000000,0.04,-0.1
181,15728226000000,0.04,-0.1
182,15728263000000,0.04,-0.1
183,15728298000000,0.04,-0.1
184,15728336000000,0.04,-0.1
185,15728379000000,0.04,-0.1
186,15728419000000,0.04,-0.1
187,15728458000000,0.04,-0.1
188,15728492000000,0.04,-0.1
189,15728526000000,0.04,-0.1
190,15728566000000,0.04,-0.1
191,15728610000000,0.04,-0.1
192,15728648000000,0.04,-0.1
193,15728690000000,0.04,-0.1
194,15728732000000,0.04,-0.1
195,15728771000000,0.04,-0.1
196,15728807000000,0.04,-0.1
197,15728841000000,0.04,-0.1
198,15728880000000,0.04,-0.1
199,15728923000000,0.04,-0.1
200,15728964000000,0.04,-0.1
201,15729010000000,0.04,-0.1
202,15729051000000,0.04,-0.1
203,15729087000000,0.04,-0.1
204,15729126000000,0.04,-0.1
205,15729162000000,0.04,-0.1
206,15729202000000,0.04,-0.1
207,15729246000000,0.04,-0.1
208,15729283000000,0.04,-0.1
209,15729332000000,0.04,-0.1
210,15729375000000,0.04,-0.1
211,15729416000000,0.04,-0.05
212,15729453000000,0.04,-0.05
213,15729487000000,0.04,0.0
214,15729524000000,0.04,0.0
215,15729558000000,0.04,0.0
216,15729606000000,0.04,0.0
217,15729645000000,0.04,0.0
218,15729681000000,0.04,0.0
219,15729715000000,0.04,0.0
220,15729756000000,0.04,0.0
221,15729792000000,0.04,0.0
222,15729833000000,0.04,0.0
223,15729870000000,0.04,0.0
224,15729905000000,0.04,0.0
225,15729945000000,0.04,0.0
226,15729982000000,0.045,0.0
227,15730025000000,0.045,0.0
228,15730061000000,0.05,0.0
