# LinearV, AngularV, left, straight, right
0.000000,0.100000,1.000000,0.000000,0.000000
0.000000,0.100000,1.000000,0.000000,0.000000
0.000000,0.100000,1.000000,0.000000,0.000000
0.000000,0.100000,1.000000,0.000000,0.000000
0.000000,0.100000,1.000000,0.000000,0.000000
0.000000,0.100000,1.000000,0.000000,0.000000
0.000000,0.100000,1.000000,0.000000,0.000000
0.000000,0.100000,1.000000,0.000000,0.000000
0.000000,0.100000,1.000000,0.000000,0.000000
0.000000,0.100000,1.000000,0.000000,0.000000
0.000000,0.100000,1.000000,0.000000,0.000000
0.000000,0.100000,1.000000,0.000000,0.000000
0.000000,0.100000,1.000000,0.000000,0.000000
0.000000,0.100000,1.000000,0.000000,0.000000
0.000000,0.100000,1.000000,0.000000,0.000000
0.000000,0.100000,1.000000,0.000000,0.000000
0.000000,0.100000,1.000000,0.000000,0.000000
0.000000,0.100000,1.000000,0.000000,0.000000
0.000000,0.100000,1.000000,0.000000,0.000000
0.000000,0.100000,1.000000,0.000000,0.000000
0.000000,0.100000,1.000000,0.000000,0.000000
0.000000,0.100000,1.000000,0.000000,0.000000
0.000000,0.100000,1.000000,0.000000,0.000000
0.000000,0.100000,1.000000,0.000000,0.000000
0.000000,0.100000,1.000000,0.000000,0.000000
0.000000,0.100000,1.000000,0.000000,0.000000
0.000000,0.100000,1.000000,0.000000,0.000000
0.000000,0.100000,1.000000,0.000000,0.000000
0.000000,0.100000,1.000000,0.000000,0.000000
0.000000,0.100000,1.000000,0.000000,0.000000
0.000000,0.100000,1.000000,0.000000,0.000000
0.000000,0.100000,1.000000,0.000000,0.000000
0.000000,0.100000,1.000000,0.000000,0.000000
0.000000,0.100000,1.000000,0.000000,0.000000
0.000000,0.100000,1.000000,0.000000,0.000000
0.000000,0.100000,1.000000,0.000000,0.000000
0.000000,0.100000,1.000000,0.000000,0.000000
0.000000,0.100000,1.000000,0.000000,0.000000
0.000000,0.100000,1.000000,0.000000,0.000000
0.000000,0.100000,1.000000,0.000000,0.000000
0.000000,0.100000,1.000000,0.000000,0.000000
0.000000,0.100000,1.000000,0.000000,0.000000
0.000000,0.100000,1.000000,0.000000,0.000000
0.000000,0.100000,1.000000,0.000000,0.000000
0.000000,0.100000,1.000000,0.000000,0.000000
0.000000,0.100000,1.000000,0.000000,0.000000
0.000000,0.100000,1.000000,0.000000,0.000000
0.000000,0.100000,1.000000,0.000000,0.000000
0.000000,0.100000,1.000000,0.000000,0.000000
0.000000,0.100000,1.000000,0.000000,0.000000
